Pos,ID,Name,BV,SV,Team,38_xMins,38_Pts,Elite%
F,1,Balogun,4.4,4.4,Arsenal,0,0.00,0.00
D,2,Cédric,3.8,3.8,Arsenal,0,0.00,0.00
M,3,M.Elneny,4.4,4.4,Arsenal,1,0.05,0.00
M,4,Fábio Vieira,5.4,5.4,Arsenal,7,0.53,0.00
D,5,Gabriel,5.4,5.0,Arsenal,92,4.44,0.92
M,6,Havertz,7.6,7.6,Arsenal,83,4.71,0.01
D,7,Holding,4.3,4.3,Crystal Palace,4,0.13,0.00
F,8,G.Jesus,7.7,7.7,Arsenal,18,1.38,0.00
M,9,Jorginho,5.3,5.3,Arsenal,33,1.34,0.00
D,10,Kiwior,4.0,4.0,Arsenal,13,0.62,0.00
M,11,Marquinhos,4.5,4.5,Arsenal,0,0.00,0.00
M,12,Martinelli,7.5,7.5,Arsenal,40,2.82,0.00
F,13,Nketiah,5.0,5.0,Arsenal,5,0.43,0.00
M,14,Ødegaard,8.6,8.6,Arsenal,89,5.41,0.00
M,15,Thomas,4.8,4.8,Arsenal,48,1.85,0.00
M,16,Pepe,4.9,4.9,Arsenal,0,0.00,0.00
G,17,Ramsdale,4.5,4.5,Arsenal,0,0.00,0.00
G,18,Rúnarsson,4.0,4.0,Arsenal,0,0.00,0.00
M,19,Saka,8.8,8.8,Arsenal,78,2.80,0.12
D,20,Saliba,5.9,5.9,Arsenal,92,4.16,0.19
M,21,Sambi,4.9,4.9,Luton,88,2.41,0.00
M,22,Smith Rowe,5.3,5.3,Arsenal,11,0.73,0.00
D,23,Tavares,4.0,4.0,Nott'm Forest,12,0.45,0.00
D,24,Tierney,4.4,4.4,Arsenal,0,0.00,0.00
D,25,Tomiyasu,4.5,4.5,Arsenal,74,3.85,0.00
M,26,Trossard,6.6,6.6,Arsenal,58,4.12,0.00
D,27,Trusty,3.9,3.9,Sheffield Utd,85,1.98,0.00
G,28,Turner,3.7,3.7,Nott'm Forest,2,0.08,0.01
D,29,White,6.1,6.1,Arsenal,86,4.21,0.29
M,30,Xhaka,6.0,6.0,Arsenal,0,0.00,0.00
D,31,Zinchenko,5.0,5.0,Arsenal,17,0.92,0.00
D,32,Alex Moreno,4.9,4.9,Aston Villa,26,1.01,0.00
F,33,Archer,4.2,4.2,Sheffield Utd,50,2.21,0.01
M,34,Bailey,5.4,5.4,Aston Villa,82,3.46,0.00
M,35,Buendia,5.7,5.7,Aston Villa,0,0.00,0.00
D,36,Cash,4.5,4.5,Aston Villa,0,0.00,0.00
D,37,Chambers,3.8,3.8,Aston Villa,15,0.44,0.00
M,38,Coutinho,5.8,5.8,Aston Villa,0,0.00,0.00
F,39,Davis,4.9,4.9,Aston Villa,0,0.00,0.00
M,40,Dendoncker,4.9,4.9,Aston Villa,0,0.00,0.00
D,41,Diego Carlos,4.4,4.4,Aston Villa,79,2.36,0.00
D,42,Digne,4.6,4.6,Aston Villa,71,2.56,0.00
M,43,Douglas Luiz,5.4,5.4,Aston Villa,91,3.32,0.00
F,44,Duran,5.0,5.0,Aston Villa,48,2.30,0.00
D,45,Hause,3.9,3.9,Aston Villa,1,0.05,0.00
M,46,Iroegbunam,4.4,4.4,Aston Villa,52,1.84,0.00
M,47,Kamara,5.0,5.0,Aston Villa,0,0.00,0.00
D,48,Konsa,4.5,4.5,Aston Villa,92,2.65,0.00
G,49,Martinez,5.2,5.2,Aston Villa,94,3.48,0.00
M,50,McGinn,5.3,5.3,Aston Villa,90,2.79,0.00
D,51,Mings,4.1,4.1,Aston Villa,0,0.00,0.00
M,52,Nakamba,4.3,4.3,Luton,0,0.00,0.00
G,53,Olsen,3.9,3.9,Aston Villa,0,0.00,0.00
M,54,Philogene,4.5,4.5,Aston Villa,0,0.00,0.00
M,55,J.Ramsey,5.9,5.9,Aston Villa,0,0.00,0.00
M,56,Sanson,4.5,4.5,Aston Villa,0,0.00,0.00
G,57,Sinisalo,4.0,4.0,Aston Villa,0,0.00,0.00
M,58,Tielemans,5.6,5.6,Aston Villa,0,0.00,0.00
M,59,Bertrand Traoré,5.0,5.0,Aston Villa,0,0.00,0.00
F,60,Watkins,8.9,8.9,Aston Villa,90,4.04,0.01
F,61,Wesley,5.0,5.0,Aston Villa,0,0.00,0.00
M,62,Anthony,4.9,4.9,Bournemouth,0,0.00,0.00
M,63,Billing,5.1,5.1,Bournemouth,14,0.58,0.00
M,64,Brooks,4.7,4.7,Bournemouth,0,0.00,0.00
M,65,Christie,5.0,5.0,Bournemouth,71,2.42,0.00
M,66,L.Cook,4.8,4.8,Bournemouth,92,2.47,0.00
M,67,Siriki,4.5,4.5,Bournemouth,0,0.00,0.00
D,68,Fredericks,4.3,4.3,Bournemouth,0,0.00,0.00
D,69,Hill,4.0,4.0,Bournemouth,1,0.03,0.00
D,70,Kelly,4.5,4.5,Bournemouth,72,1.67,0.00
M,71,Kilkenny,4.3,4.3,Bournemouth,0,0.00,0.00
M,72,Kluivert,4.6,4.6,Bournemouth,59,2.40,0.00
M,73,Lowe,4.9,4.9,Bournemouth,0,0.00,0.00
M,74,Marcondes,4.3,4.3,Bournemouth,0,0.00,0.00
D,75,Mepham,4.3,4.3,Bournemouth,6,0.16,0.00
F,76,Moore,4.6,4.6,Bournemouth,0,0.00,0.00
G,77,Neto,4.6,4.6,Bournemouth,1,0.04,0.01
M,78,O.Dango,4.7,4.7,Bournemouth,43,1.74,0.00
M,79,Pearson,4.5,4.5,Bournemouth,0,0.00,0.00
G,80,Randolph,3.9,3.9,Bournemouth,0,0.00,0.00
M,81,Rothwell,4.8,4.8,Bournemouth,0,0.00,0.00
F,82,Semenyo,4.5,4.5,Bournemouth,76,2.59,0.00
D,83,Senesi,4.4,4.4,Bournemouth,86,1.96,0.00
